
Image Name                     PID Session Name        Session#    Mem Usage
winlogon.exe                 19496 Console                    4     11,608 K
fontdrvhost.exe              20276 Console                    4     11,180 K
dwm.exe                       7172 Console                    4    109,428 K
AsusOptimizationStartupTa     5720 Console                    4     16,992 K
sihost.exe                   15744 Console                    4     33,000 K
svchost.exe                   8108 Console                    4     33,232 K
svchost.exe                  12124 Console                    4      9,216 K
svchost.exe                  18556 Console                    4     28,788 K
taskhostw.exe                18088 Console                    4     18,804 K
explorer.exe                  5092 Console                    4    354,600 K
svchost.exe                  19668 Console                    4     33,424 K
StartMenuExperienceHost.e     9004 Console                    4     98,872 K
Widgets.exe                  13544 Console                    4     49,084 K
RuntimeBroker.exe             9636 Console                    4     25,456 K
RuntimeBroker.exe            20152 Console                    4     43,832 K
svchost.exe                   2020 Console                    4      8,236 K
dllhost.exe                   9660 Console                    4     15,396 K
SecurityHealthSystray.exe    16492 Console                    4     10,092 K
UniKeyNT.exe                 17568 Console                    4     10,352 K
chrome.exe                   11828 Console                    4    244,728 K
chrome.exe                   12252 Console                    4      8,836 K
chrome.exe                    6408 Console                    4    297,772 K
chrome.exe                    1912 Console                    4     52,720 K
chrome.exe                    8356 Console                    4     22,132 K
chrome.exe                   14884 Console                    4     78,396 K
AsusOLEDShifter.exe          13580 Console                    4     12,016 K
chrome.exe                   12204 Console                    4    331,208 K
ipf_helper.exe               13228 Console                    4      6,256 K
ctfmon.exe                   12688 Console                    4     27,120 K
chrome.exe                   10664 Console                    4     55,328 K
TextInputHost.exe             7804 Console                    4    130,460 K
RtkAudUService64.exe         15776 Console                    4      8,760 K
svchost.exe                  12676 Services                   0      6,364 K
AsusOSD.exe                  20388 Console                    4      8,588 K
chrome.exe                    7608 Console                    4     23,768 K
svchost.exe                  20320 Console                    4     13,808 K
dllhost.exe                   7720 Console                    4      9,192 K
ApplicationFrameHost.exe     20088 Console                    4     30,776 K
SystemSettings.exe           19516 Console                    4      3,460 K
svchost.exe                  20140 Console                    4      9,520 K
UserOOBEBroker.exe           12544 Console                    4      9,352 K
ShellExperienceHost.exe       2956 Console                    4     55,528 K
RuntimeBroker.exe            15400 Console                    4     30,224 K
svchost.exe                   4468 Console                    4     16,012 K
WidgetService.exe            16504 Console                    4     23,860 K
msedgewebview2.exe           13068 Console                    4     12,656 K
msedgewebview2.exe            2852 Console                    4      7,640 K
msedgewebview2.exe            9788 Console                    4      4,208 K
msedgewebview2.exe            9324 Console                    4      4,512 K
msedgewebview2.exe            6176 Console                    4        716 K
msedgewebview2.exe           13076 Console                    4      3,332 K
LocationNotificationWindo    13484 Console                    4      1,832 K
LockApp.exe                  12628 Console                    4     54,320 K
RuntimeBroker.exe              780 Console                    4     34,912 K
AsusSoftwareManagerAgent.     2660 Console                    4     45,532 K
svchost.exe                  16616 Services                   0      5,664 K
SystemSettingsBroker.exe      9344 Console                    4     33,688 K
taskhostw.exe                 5344 Services                   0     21,712 K
audiodg.exe                   3004 Services                   0     33,848 K
idea64.exe                    8156 Console                    4  3,419,648 K
fsnotifier.exe                2792 Console                    4      2,808 K
conhost.exe                   9528 Console                    4     10,864 K
svchost.exe                  14476 Console                    4     12,996 K
chrome.exe                   11252 Console                    4    154,732 K
SearchHost.exe                9664 Console                    4    219,180 K
java.exe                     10112 Console                    4    197,112 K
conhost.exe                   8084 Console                    4     10,960 K
conhost.exe                  18964 Console                    4      6,988 K
powershell.exe               16356 Console                    4     85,920 K
chrome.exe                    5724 Console                    4     18,680 K
chrome.exe                    8468 Console                    4    102,000 K
chrome.exe                   18096 Console                    4     54,252 K
chrome.exe                   18024 Console                    4    202,988 K
chrome.exe                    7916 Console                    4    106,532 K
chrome.exe                    1900 Console                    4     68,012 K
svchost.exe                   6896 Services                   0      7,540 K
svchost.exe                  12492 Services                   0     13,040 K
chrome.exe                    7576 Console                    4     50,548 K
chrome.exe                   16364 Console                    4     28,624 K
java.exe                      8820 Console                    4     58,796 K
conhost.exe                   1656 Console                    4     10,988 K
java.exe                     15220 Console                    4     74,512 K
conhost.exe                   6688 Console                    4     10,988 K
tasklist.exe                  7196 Console                    4      9,284 K
conhost.exe                  10924 Console                    4     10,880 K
WmiPrvSE.exe                 19236 Services                   0     10,256 K
